tile_id,left,top,right,bottom
114,9907768.291100000962615,5309612.914699999615550,9908024.291100000962615,5309356.914699999615550
115,9907768.291100000962615,5309382.514699999243021,9908024.291100000962615,5309126.514699999243021
116,9907768.291100000962615,5309152.114699999801815,9908024.291100000962615,5308896.114699999801815
117,9907768.291100000962615,5308921.714700000360608,9908024.291100000962615,5308665.714700000360608
118,9907768.291100000962615,5308691.314699999988079,9908024.291100000962615,5308435.314699999988079
119,9907768.291100000962615,5308460.914699999615550,9908024.291100000962615,5308204.914699999615550
120,9907768.291100000962615,5308230.514699999243021,9908024.291100000962615,5307974.514699999243021
121,9907768.291100000962615,5308000.114699999801815,9908024.291100000962615,5307744.114699999801815
122,9907768.291100000962615,5307769.714700000360608,9908024.291100000962615,5307513.714700000360608
123,9907768.291100000962615,5307539.314699999988079,9908024.291100000962615,5307283.314699999988079
124,9907768.291100000962615,5307308.914699999615550,9908024.291100000962615,5307052.914699999615550
125,9907768.291100000962615,5307078.514699999243021,9908024.291100000962615,5306822.514699999243021
126,9907768.291100000962615,5306848.114699999801815,9908024.291100000962615,5306592.114699999801815
127,9907768.291100000962615,5306617.714700000360608,9908024.291100000962615,5306361.714700000360608
128,9907768.291100000962615,5306387.314699999988079,9908024.291100000962615,5306131.314699999988079
129,9907768.291100000962615,5306156.914699999615550,9908024.291100000962615,5305900.914699999615550
130,9907768.291100000962615,5305926.514699999243021,9908024.291100000962615,5305670.514699999243021
131,9907768.291100000962615,5305696.114699999801815,9908024.291100000962615,5305440.114699999801815
132,9907768.291100000962615,5305465.714700000360608,9908024.291100000962615,5305209.714700000360608
133,9907768.291100000962615,5305235.314699999988079,9908024.291100000962615,5304979.314699999988079
134,9907768.291100000962615,5305004.914699999615550,9908024.291100000962615,5304748.914699999615550
135,9907768.291100000962615,5304774.514699999243021,9908024.291100000962615,5304518.514699999243021
136,9907768.291100000962615,5304544.114699999801815,9908024.291100000962615,5304288.114699999801815
137,9907768.291100000962615,5304313.714700000360608,9908024.291100000962615,5304057.714700000360608
138,9907768.291100000962615,5304083.314699999988079,9908024.291100000962615,5303827.314699999988079
139,9907768.291100000962615,5303852.914699999615550,9908024.291100000962615,5303596.914699999615550
140,9907768.291100000962615,5303622.514699999243021,9908024.291100000962615,5303366.514699999243021
141,9907768.291100000962615,5303392.114699999801815,9908024.291100000962615,5303136.114699999801815
142,9907768.291100000962615,5303161.714700000360608,9908024.291100000962615,5302905.714700000360608
143,9907768.291100000962615,5302931.314699999988079,9908024.291100000962615,5302675.314699999988079
144,9907768.291100000962615,5302700.914699999615550,9908024.291100000962615,5302444.914699999615550
145,9907768.291100000962615,5302470.514699999243021,9908024.291100000962615,5302214.514699999243021
146,9907768.291100000962615,5302240.114699999801815,9908024.291100000962615,5301984.114699999801815
147,9907768.291100000962615,5302009.714700000360608,9908024.291100000962615,5301753.714700000360608
148,9907768.291100000962615,5301779.314699999988079,9908024.291100000962615,5301523.314699999988079
149,9907768.291100000962615,5301548.914699999615550,9908024.291100000962615,5301292.914699999615550
150,9907768.291100000962615,5301318.514699999243021,9908024.291100000962615,5301062.514699999243021
151,9907768.291100000962615,5301088.114699999801815,9908024.291100000962615,5300832.114699999801815
152,9907768.291100000962615,5300857.714700000360608,9908024.291100000962615,5300601.714700000360608
153,9907768.291100000962615,5300627.314699999988079,9908024.291100000962615,5300371.314699999988079
154,9907768.291100000962615,5300396.914699999615550,9908024.291100000962615,5300140.914699999615550
